상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3110586,서울서부지방법원,골목상권,1.2460468933410027,18.327655287349277,19.57370218069028,316774961,0,1.3030522083550682,0.17020685435968338,9,1.0,False,False
3110541,동교초등학교,골목상권,1.2466477034282057,17.920298903686415,19.16694660711462,210910958,0,0.9464035658232695,0.19951582115758462,9,1.0,False,False
3110323,상월곡역 1번,골목상권,1.24687693128784,17.816849078336126,19.063726009623966,190226496,0,1.1711671361747287,0.19880618633087346,9,1.0,False,False
3110942,염곡동 구룡사(포이동성당),골목상권,1.2512694300223295,18.378826869576137,19.630096299598467,335152529,1,1.2972070147073909,0.0826212290386757,9,0.5,False,False
3110191,고려대역 6번,골목상권,1.2549167671756614,17.82741036635502,19.082327133530683,193798037,0,1.4886822015438064,0.13466438913526949,9,1.0,False,False
3130007,광장시장(광장전통시장),전통시장,1.25940447893608,18.306256583679147,19.565661062615227,314237950,0,1.459749359207953,0.09199603493772228,9,1.0,False,False
3110684,서울공연예술고등학교,골목상권,1.260277904069543,17.58455960544747,18.844837509517014,152830115,0,1.3252630277500859,0.06927518505835198,9,1.0,False,False
3120129,구로디지털단지,발달상권,1.26193375047799,21.15801878095934,22.41995253143733,5455840544,0,1.160708473858153,0.04804183191246419,9,1.0,False,False
3130265,노량진중앙시장,전통시장,1.2623810115238463,17.749498729807424,19.01187974133127,180615268,0,1.3736310898751134,0.1252686385141689,9,1.0,False,False
3110057,황학코아루아파트,골목상권,1.2661698845830003,18.474860468405584,19.741030352988584,374473033,0,-0.6673141642682828,0.8353454391193873,9,1.0,False,False
3120032,충무로역,발달상권,1.2831244018732235,20.64573110955979,21.928855511433014,3338727259,2,1.4023706432624279,0.10892838449514586,9,0.3333333333333333,False,False
3110398,쌍문2동우체국,골목상권,1.2913687340730249,17.851644272370656,19.14301300644368,205923027,0,1.3677823566433882,0.051406785328621515,9,1.0,False,False
3110640,방화역 1번,골목상권,1.2950830244986946,18.183849653557182,19.478932678055877,288132982,0,1.3826168225900202,0.185114704865705,9,1.0,False,False
3111075,굽은다리역 2번,골목상권,1.3024788516882815,17.985457729224677,19.28793658091296,238036975,0,1.2291279510259396,0.09221432552901075,9,1.0,False,False
3110939,양재역 8번(양재동우체국),골목상권,1.3027210914462337,18.931893551728344,20.234614643174577,613453265,0,1.4514741795279242,0.07185805000154943,9,1.0,False,False
3130236,비단길현대시장(현대시장),전통시장,1.307015565212481,18.100633589748508,19.40764915496099,268308810,0,1.1709818840186865,0.07921805302700445,9,1.0,False,False
3111062,둔촌동역 3번(성내3동주민센터),골목상권,1.3396134955932375,17.965600842141153,19.30521433773439,242185455,0,1.3390830483766132,0.11519054672823656,9,1.0,False,False
3110127,성수1가1동주민센터,골목상권,1.348160309456258,18.012467226315753,19.36062753577201,255984520,0,1.1305066037829006,0.21473829379194048,9,1.0,False,False
3110136,경수초등학교,골목상권,1.352392619886782,18.46739636809775,19.81978898798453,405158532,0,1.163310444109155,0.13322408518824594,9,1.0,False,False
3110098,서울독일학교,골목상권,1.3542661270074845,17.94955475786038,19.303820884867864,241848216,1,0.7742661528571363,0.4825643329570394,9,0.5,False,False
3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",전통시장,1.3557573906668345,18.234616130184943,19.590373520851777,322100291,0,1.427201242725391,0.1071801738169483,9,1.0,False,False
3110961,언주역 3번,골목상권,1.365145410872131,18.120327570199713,19.485472981071844,290023635,0,0.9873777669413992,0.2820296135388307,9,1.0,False,False
3130072,성동용답상가시장,전통시장,1.3653611982966076,18.334798013124416,19.700159211421024,359476444,0,1.299036578103271,0.06310343781919858,9,1.0,False,False
